record_id,text,y_true,y_pred,model_name,scenario,split,matched_slang_terms
REC_009269,"ĐƯỢC BIẾT NỮ SINH NÀY HIỆN KHÔNG BỊ XỬ LÝ HÌNH SỰ VÌ CÒN ĐANG TUỔI VỊ THÀNH NIÊN Vụ việc nữ giáo viên tiểu học tại Chiết Giang bị học sinh hanhhung đang khiến nhiều cư dân mạng Trung Quốc bức xúc. Nguồn cơn câu chuyện xảy ra vào ngày 7/1/2026, trong lúc can ngăn hai học sinh ẩu đả trong giờ ra chơi, nữ giáo viên họ Tống (42 tuổi) bất ngờ bị một nữ sinh tancong vào mắt phải. Kết quả là nhãn cầu phải của cô bị mất thị lực nghiêm trọng. Tính đến thời điểm hiện tại, cô Tống đã trải qua 2 cuộc phẫu thuật mắt nhưng tình trạng vẫn rất nặng. Bác sĩ cho biết thị lực của cô hiện chỉ còn 0.04, đồng thời có nguy cơ gặp nhiều biến chứng lâu dài như đục thủy tinh thể hay tăng nhãn áp. Trong chia sẻ mới đây, nữ giáo viên cho biết vụ việc đã để lại cho cô cú sốc tâm lý rất lớn. Đồng thời, cô mong nữ sinh liên quan sẽ nhận hình thức xử lý và giáo dục phù hợp. Cô cũng bày tỏ bản thân hiện không còn phù hợp để tiếp tục đứng lớp tại ngôi trường cũ và hy vọng sẽ được điều chuyển công tác. Phía Sở Giáo dục cho biết yêu cầu này của cô Tống vẫn đang được xem xét, sắp xếp. Bên cạnh đó, phụ huynh của nữ sinh này đã đứng ra xin lỗi và cho biết sẽ chịu trách nhiệm tương ứng. Riêng nữ sinh vì còn tuổi vị thành niên nên không bị xử lý hình sự.",T03,T13,LogisticRegression,01_Raw_Data,val,sốc
REC_004798,"Sợ con dâu dính phốt, mẹ chồng Hòa Minzy lên tiếng vụ vải sâu",T10,T13,LogisticRegression,01_Raw_Data,val,phốt
REC_000748,"Kịp thời cứu nạn thiếu nữ rơi xuống giếng sâu lúc rạng sáng. Sự việc xảy ra vào khoảng 4 giờ sáng ngày 28/3, bà La Thị Nhanh (SN 1950, trú tổ dân phố Ca Công, phường Hoài Nhơn Đông, tỉnh Gia Lai) đang ở trong nhà thì nghe tiếng động lạ phía giếng đào bên hông nhà. Ra kiểm tra, bà bàng hoàng phát hiện cháu nội là Đỗ Thị Như Q. (SN 2004) đã rơi xuống giếng nên lập tức hô hoán và trình báo cơ quan chức năng. Tiếp nhận tin báo, Công an phường Hoài Nhơn Đông đã nhanh chóng có mặt, phối hợp với Đội Chữa cháy và cứu nạn cứu hộ khu vực số 4 (Phòng Cảnh sát PCCC và CNCH, Công an tỉnh Gia Lai) triển khai các phương án cứu hộ. Do giếng sâu, có đường kính nhỏ, trời còn tối nên công tác cứu hộ gặp nhiều khó khăn. Các chiến sỹ đã phối hợp nhịp nhàng dùng thang và dây thừng đưa xuống dưới giếng vừa trấn an và giải cứu nạn nhân. Nhờ sự can thiệp kịp thời và chuyên nghiệp của lực lượng chức năng, nạn nhân đã được cứu nạn an toàn.",T13,T09,LogisticRegression,01_Raw_Data,val,giải cứu
REC_005911,Chấn động: HSBC tổn thất 10 nghìn tỷ vì cho vay gián tiếp qua công ty tín dụng tư nhân,T02,T03,LogisticRegression,01_Raw_Data,val,chấn động
REC_011984,"Nhân viên MKT hướng nội nhưng bắt cả MXH phải hướng về… chiếc quần tây của đại sứ mới =))) Chiếc quần gây chấn động cộng đồng mạng này rốt cuộc thuộc về ai ai ai? Ai sẽ là đại sứ mới của Tiêm chủng Long Châu đây? Đúng 12h trưa mai (19/5), tụi tui tiếp tục ôm điện thoại hóng xem Long Châu còn “xé túi mù” tới cỡ nào Nhìn dáng sương sương vậy, anh em nảy số ra ai chưa?",T02,T10,LogisticRegression,01_Raw_Data,test,chấn động
REC_001901,Khoảnh khắc hàng trăm người ở Hà Nội nhấc khối đá lớn giải cứu người bị kẹt chân,T13,T09,LogisticRegression,01_Raw_Data,test,giải cứu
REC_005818,Elon Musk cho biết mình đã giải cứu thế giới khỏi tận thế!,T10,T13,LogisticRegression,01_Raw_Data,test,giải cứu
REC_005101,"Gái Thái sốc khi quen hồng hài nhi Việt bên ngoài điển trai bên trong ""ở dơ""",T13,T10,LogisticRegression,01_Raw_Data,test,sốc
REC_005446,"Chấn động giới ngân hàng: Một nhà băng tuyên bố sắp cắt giảm 12.000 người, nhân sự khối vận hành ảnh hưởng nặng nề",T02,T14,LogisticRegression,01_Raw_Data,test,chấn động
REC_009865,"Drama giữa đêm: Vợ anh trai Jisoo đăng đàn bảo vệ gia đình chồng mặc dù bị công ty quản lý gây sức ép, khẳng định không hề biết danh tính của nữ idol lúc mới yêu Trong các bài đăng mới nhất, cô chia sẻ một sự thật bất ngờ rằng bản thân hoàn toàn không hề biết chồng mình là anh trai của một ngôi sao toàn cầu khi mới bắt đầu mối quan hệ. Chỉ sau khi đã đăng ký kết hôn, cô thấy các con riêng của chồng thường xuyên nhận xét mình có nét giống ""dì XX"", cùng với việc mọi người liên tục bàn tán về sự tương đồng ngoại hình, cô mới tò mò lên Namu Wiki để tìm kiếm thông tin. Lúc này, cô mới nhận ra danh tính thực sự của em chồng mình. Qua đó, cô cũng lên tiếng khẩn thiết kêu gọi cộng đồng mạng đừng chỉ trích hay tấn công những người không liên quan, bởi cô hiểu rằng đây là vấn đề cá nhân giữa hai vợ chồng. Tình tiết càng trở nên căng thẳng khi cô cho biết sau khi sự việc xảy ra, những người tự xưng là đại diện công ty quản lý đã tìm đến tận nhà bố mẹ đẻ của cô để gây áp lực, khiến gia đình cô sống trong sự bất an và sợ hãi. Tiếp đó, người chồng còn thực hiện chiến thuật thaotungtamly bằng cách nhắn tin níu kéo, dùng hình ảnh các con và những kỷ niệm cũ để khơi gợi lòng trắc ẩn, nhằm mục đích khiến cô gỡ bỏ các bài tố cáo. Tuy nhiên, nạn nhân khẳng định cô đã tỉnh táo trước những lời lẽ ""vừa đấm vừa xoa"" này và quyết tâm đưa sự thật ra ánh sáng để tự giải thoát cho bản thân sau chuỗi ngày bị kiểm soát và nguocdai cả về thể xác lẫn tinh thần.",T10,T13,LogisticRegression,01_Raw_Data,test,drama
