topic_label_id,topic_label_final,source_design_note
T01,T01. POLITICS,IPTC
T02,T02. ECONOMY_BUSINESS_AND_FINANCE,IPTC
T03,T03. CRIME_LAW_AND_JUSTICE,IPTC
T04,T04. HEALTH,IPTC
T05,T05. EDUCATION,IPTC
T06,T06. SCIENCE_AND_TECHNOLOGY,IPTC
T07,T07. ENVIRONMENT,IPTC
T08,T08. WEATHER,IPTC
T09,T09. DISASTER_ACCIDENT_AND_EMERGENCY_INCIDENT,IPTC
T10,T10. ARTS_CULTURE_ENTERTAINMENT_AND_MEDIA,IPTC
T11,T11. SPORT,IPTC
T12,T12. SOCIETY,IPTC
T13,T13. HUMAN_INTEREST,IPTC
T14,T14. LABOR,IPTC
T15,T15. LIFESTYLE_AND_LEISURE,IPTC
T16,T16. WORLD_INTERNATIONAL,bổ sung theo VNTC/Việt Nam
T17,T17. TRANSPORT_INFRASTRUCTURE,bổ sung theo đặc thù Việt Nam/Đông Nam Á
T18,T18. OTHER_UNCLEAR,nhãn kỹ thuật cho caption Facebook
