keyword_group,gold_label,predicted_label,model_name,scenario,split,count
transport,T03,T17,XGBoost,03_Full_Clean,val,5
transport,T03,T17,LogisticRegression,01_Raw_Data,test,5
economy,T03,T02,XGBoost,03_Full_Clean,val,4
crime,T12,T03,XGBoost,03_Full_Clean,val,4
transport,T03,T17,LogisticRegression,01_Raw_Data,val,4
transport,T03,T17,RandomForest,05_Balanced,val,4
transport,T03,T17,XGBoost,03_Full_Clean,test,4
crime,T13,T03,XGBoost,03_Full_Clean,val,4
crime,T13,T03,LinearSVC,01_Raw_Data,val,3
crime,T03,T17,XGBoost,03_Full_Clean,test,3
entertainment,T10,T13,RandomForest,05_Balanced,val,3
crime,T01,T03,LinearSVC,01_Raw_Data,test,3
crime,T13,T03,RandomForest,05_Balanced,val,3
entertainment,T02,T10,RandomForest,05_Balanced,val,3
disaster_accident,T13,T09,XGBoost,03_Full_Clean,test,3
disaster_accident,T13,T09,LogisticRegression,01_Raw_Data,test,3
disaster_accident,T13,T09,LinearSVC,01_Raw_Data,test,3
entertainment,T02,T10,XGBoost,03_Full_Clean,val,3
crime,T10,T03,XGBoost,03_Full_Clean,val,3
crime,T12,T13,RandomForest,05_Balanced,val,2
entertainment,T02,T10,LinearSVC,01_Raw_Data,val,2
transport,T09,T17,LogisticRegression,01_Raw_Data,test,2
economy,T02,T01,LogisticRegression,01_Raw_Data,val,2
crime,T10,T03,LinearSVC,01_Raw_Data,test,2
crime,T10,T03,LinearSVC,01_Raw_Data,val,2
crime,T10,T03,LogisticRegression,01_Raw_Data,test,2
crime,T10,T03,LogisticRegression,01_Raw_Data,val,2
crime,T10,T03,RandomForest,05_Balanced,test,2
crime,T10,T03,RandomForest,05_Balanced,val,2
crime,T10,T03,XGBoost,03_Full_Clean,test,2
politics,T01,T03,LinearSVC,01_Raw_Data,test,2
entertainment,T10,T13,LogisticRegression,01_Raw_Data,val,2
crime,T12,T13,LinearSVC,01_Raw_Data,val,2
crime,T12,T13,LogisticRegression,01_Raw_Data,val,2
entertainment,T10,T13,XGBoost,03_Full_Clean,val,2
transport,T09,T17,XGBoost,03_Full_Clean,test,2
crime,T13,T03,LogisticRegression,01_Raw_Data,val,2
transport,T17,T03,LinearSVC,01_Raw_Data,test,2
transport,T17,T03,LinearSVC,01_Raw_Data,val,2
transport,T17,T03,RandomForest,05_Balanced,val,2
economy,T13,T10,RandomForest,05_Balanced,test,2
transport,T03,T17,RandomForest,05_Balanced,test,2
entertainment,T13,T10,XGBoost,03_Full_Clean,val,2
crime,T13,T10,RandomForest,05_Balanced,test,2
crime,T13,T12,LogisticRegression,01_Raw_Data,val,2
