record_id,text,gold_label,predicted_label,model_name,scenario,split,reason_guess
REC_002424,"Siết sát hạch lái xe, tỷ lệ đỗ đường trường giảm sâu #VnExpress",T12,T17,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_011028,Noo Phước Thịnh lộ tin nhắn riêng tư với chàng trai người Trung Quốc,T10,T13,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_008844,"Nữ tài xế dừng đèn đỏ bị xe buýt tông, hơn 10 người hợp sức nâng xe cứu nạn. #Vietnamnet #Thờisự #PT",T13,T09,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_008668,"BÉ TRAI 9 TUỔI NGƯỜI TÀY NGUY KỊCH VÌ VIÊM NÃO NHẬT BẢN, CHA MẸ NGHÈO KIỆT QUỆ Ngày nào cũng vậy, mỗi khi ngồi bên giường bệnh của con, anh Lê Văn Hiếu (SN 1991, thôn Đo, xã Bình Xa, tỉnh Tuyên Quang) lặng lẽ dõi theo từng nhịp thở phát ra từ máy móc. Bệnh tình của bé Hưng ngày càng nặng khiến anh không dám rời mắt, bởi chỉ một phút lơ là cũng có thể đe dọa đến tính mạng của con. Trước đó, vào tháng 6/2025, bé Hưng bất ngờ sốt cao kéo dài. Gia đình đưa con đến Bệnh viện Đa khoa huyện Hàm Yên thăm khám và chuyển lên Bệnh viện Đa khoa tỉnh Tuyên Quang điều trị. Sau một thời gian, tình trạng của bé vẫn diễn biến xấu. Rạng sáng ngày 29/6, Hưng lên cơn co giật, tình trạng bất thường nên bác sĩ chuyển bé lên cấp cứu tại Bệnh viện Nhi Trung ương. Tại đây, kết quả xét nghiệm khiến cả gia đình suy sụp: bé Hưng mắc viêm não Nhật Bản. Sau 9 ngày cấp cứu tại Bệnh viện Nhi Trung ương, Hưng được chuyển sang Bệnh viện Bệnh Nhiệt đới Trung ương để tiếp tục điều trị chuyên sâu. “Giữa tháng 7/2025, các bác sĩ buộc phải mở nội khí quản vì con không thể tự thở. Hưng rơi vào hôn mê sâu gần một tháng, mọi sinh hoạt đều phụ thuộc vào ống xông dạ dày. Đó là quãng thời gian khó khăn nhất khiến vợ chồng tôi suy sụp tinh thần. Có lúc chúng tôi nghĩ con sẽ không qua khỏi”, anh Hiếu nghẹn ngào kể. Biến chứng liên tục khiến bé Hưng nhiều lần phải cấp cứu, đe doạ tính mạng. Cứ như vậy, vòng tròn cấp cứu từ các bệnh viện ở Hà Nội rồi quay về tỉnh diễn ra liên tục trong gần một năm qua. Hiện tại, bé Hưng đang điều trị tại Bệnh viện Đa khoa tỉnh Tuyên Quang trong tình trạng hoàn toàn phụ thuộc vào máy thở và ống xông. Theo anh Hiếu, gần một năm qua, chi phí điều trị cho Hưng đã vượt quá 500 triệu đồng. Gia đình phải vay ngân hàng 100 triệu đồng, số còn lại nhờ anh em, bạn bè và người thân hỗ trợ. “Bác sĩ nói, hành trình chữa bệnh cho con còn rất dài do tổn thương phổi nặng, khả năng phục hồi khó khăn. Để duy trì sự sống, Hưng phải sử dụng nhiều loại kháng sinh và thuốc đặc trị đắt tiền, trong đó có nhiều loại nằm ngoài danh mục bảo hiểm y tế chi trả”, anh Hiếu nghẹn ngào. Lúc này, vòng tay hỗ trợ từ cộng đồng sẽ giúp cháu Hưng có cơ hội hồi phục, giúp gia đình anh Hiếu vượt qua giai đoạn khó khăn. #Vietnamnet #Bạnđọc #Gócsẻchia #PT",T13,T04,LogisticRegression,01_Raw_Data,val,long/noisy caption
REC_010402,Tình hình mới nhất của Miu Lê,T03,T10,LogisticRegression,01_Raw_Data,val,caption too short
REC_002582,"'40 năm sau Đổi Mới, điệp khúc cũ ""Đưa luật vào cuộc sống"" vẫn như một khẩu hiệu mới, phản ánh nhu cầu bức thiết của xã hội. Đáp lại nhu cầu này là tình trạng ""lỗi tại thực thi"". Nhiều bộ luật vẫn phải chờ nghị định, thông tư ""lắp chân"" để đi vào cuộc sống', góc nhìn của PGS. TS Võ Trí Hảo #VnExpress #Góc_nhìn",T01,T12,LogisticRegression,01_Raw_Data,val,long/noisy caption
REC_002925,Miss World lần đầu tổ chức tại Việt Nam #VnExpress,T10,T11,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_005899,"Gần 9.000 nhân viên tại một tập đoàn công nghệ vừa bị 'mời' nghỉ hưu sớm, có người đã gắn bó hàng thập kỷ cũng trong diện tinh giản",T14,T13,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_005841,"Loạt “đặc quyền y tế” miễn phí, thông minh tại Trạm Công Dân Số dành cho người dân",T04,T12,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
REC_004814,Học hỏi menu của người phụ nữ làm mâm cơm chưa đến 100k cho gia đình 5 người ăn vô tư,T15,T13,LogisticRegression,01_Raw_Data,val,keyword overfitting or label boundary ambiguity
