record_id,caption,topic_label_final,topic_label_id,label_status,label_source,is_uncertain_label,page_name,page_handle,page_url,post_url,crawler_owner,raw_schema_type,page_followers,has_page_followers,post_created_time_human,post_created_date,post_created_hour,post_created_weekday,timestamp_status,has_post_created_time,metadata_observed_at,like_count,love_count,haha_count,wow_count,sad_count,angry_count,care_count,sorry_count,total_reactions,reaction_detail_sum,reaction_detail_coverage_ratio,reaction_details_status,has_reaction_total,has_reaction_details,share_count,comment_count,has_share_count,has_comment_count,has_engagement_basic,positive_reaction_total,negative_reaction_total,special_reaction_total,all_reaction_total_for_formula,reaction_intensity,reaction_valence,polarity_score,love_ratio,care_ratio,haha_ratio,wow_ratio,sad_ratio,angry_ratio,approval_reaction_index,outrage_reaction_index,amusement_reaction_index,empathy_reaction_index,engagement_total,reaction_per_follower,share_per_follower,comment_per_follower,engagement_per_follower,usable_for_topic_classification,usable_for_reaction_analysis,usable_for_engagement_analysis,has_metadata_outlier,metadata_outlier_reason,usable_for_engagement_analysis_strict,exclude_reason,quality_note
REC_000001,Tiếp tục yêu cầu các ngân hàng thương mại thực hiện nghiêm chủ trương giảm lãi suất huy động và cho vay,T02. ECONOMY_BUSINESS_AND_FINANCE,T02,human_verified,manual_adjudicated,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,nhung,schema_5_new_timestamp,9400000,1,2026-05-23 09:12:00,2026-05-23,9.0,Saturday,ok,1,2026-05-23 23:42:09,5614,163,47,9,7,3,15,0.0,5858,5858.0,1.0,ok,1,1,4,380,1,1,1,178,66,244,5858,0.041652441106179584,1.0,0.041652441106179584,0.02782519631273472,0.0025606008876749744,0.00802321611471492,0.0015363605326049847,0.001194947080914988,0.0005121201775349949,0.9861727552065551,0.0005121201775349949,0.00802321611471492,0.0037555479685899623,6242,0.0006231914893617021,4.2553191489361704e-07,4.0425531914893614e-05,0.0006640425531914894,1,1,1,0,,1,,pilot_or_calibration_sample_exclude_from_test
REC_000002,"Cần tuyển 379 Bác sĩ, Điều dưỡng, Dược sĩ, Dược, Hộ sinh, Kỹ thuật y, Kế toán, Công tác xã hội... cho Bệnh viện Đa khoa Đồng Tháp",T14. LABOR,T14,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 13:32:00,2026-05-22,13.0,Friday,ok,1,2026-05-23 23:42:30,12856,438,34,50,0,0,33,0.0,13411,13411.0,1.0,ok,1,1,2,490,1,1,1,471,84,555,13411,0.04138393855790023,1.0,0.04138393855790023,0.032659756915964504,0.00246066661695623,0.0025352322720155096,0.003728282752963985,0.0,0.0,0.9912758183580642,0.0,0.0025352322720155096,0.00246066661695623,13903,0.0014267021276595745,2.1276595744680852e-07,5.2127659574468086e-05,0.0014790425531914894,1,1,1,0,,1,,
REC_000003,"BẮT QUẢ TANG CÁN BỘ THUẾ LẠM DỤNG CHỨC VỤ, QUYỀN HẠN NHẬN TIỀN CỦA DOANH NGHIỆP TẠM GIAM NGAY",T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 13:13:00,2026-05-22,13.0,Friday,ok,1,2026-05-23 23:42:40,35000,491,5300,229,87,86,55,0.0,41248,41248.0,1.0,ok,1,1,4,455,1,1,1,546,5702,6248,41248,0.15147401086113266,-1.0,-0.15147401086113266,0.011903607447633824,0.0013333979829325058,0.1284910783553142,0.00555178432893716,0.0021091931730023274,0.0020849495733126456,0.8604295965865012,0.0020849495733126456,0.1284910783553142,0.0034425911559348332,41707,0.004388085106382979,4.2553191489361704e-07,4.840425531914893e-05,0.004436914893617022,1,1,1,0,,1,,
REC_000004,"Từ vụ việc 1 nạn nhân tử vong do ngộ độc Xyanua, Công an TP Hồ Chí Minh đã triệt phá đường dây mua bán trái phép chất độc Xyanua xuyên biên giới với quy mô đặc biệt lớn. Khởi tố 35 đối tượng, thu giữ 1,3 tấn Xyanua!",T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 12:22:00,2026-05-22,12.0,Friday,ok,1,2026-05-23 23:42:51,14157,370,6,199,33,21,29,0.0,14815,14815.0,1.0,ok,1,1,111,281,1,1,1,399,259,658,14815,0.044414444819439756,1.0,0.044414444819439756,0.024974687816402295,0.0019574755315558555,0.0004049949375632805,0.013432332095848801,0.0022274721565980426,0.0014174822814714816,0.9805602429969625,0.0014174822814714816,0.0004049949375632805,0.004184947688153898,15207,0.001576063829787234,1.1808510638297872e-05,2.9893617021276595e-05,0.0016177659574468084,1,1,1,0,,1,,
REC_000005,"Tạm giữ lô hàng ổ cứng mang nhãn hiệu Seagate trị giá khai báo hơn 3,5 tỷ đồng do có dấu hiệu vi phạm quyền sở hữu trí tuệ. Phục vụ xác minh và xử lý theo quy định!",T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 12:02:00,2026-05-22,12.0,Friday,ok,1,2026-05-23 23:43:01,8271,277,83,132,19,4,11,0.0,8797,8797.0,1.0,ok,1,1,4,262,1,1,1,288,238,526,8797,0.05979311128793907,1.0,0.05979311128793907,0.03148800727520746,0.0012504262816869388,0.009435034670910537,0.015005115380243265,0.0021598272138228943,0.0004547004660679777,0.9716948959872684,0.0004547004660679777,0.009435034670910537,0.003410253495509833,9063,0.0009358510638297872,4.2553191489361704e-07,2.7872340425531914e-05,0.0009641489361702128,1,1,1,0,,1,,
REC_000007,Chính thức triển khai thanh toán QR xuyên biên giới (tại hơn 50 quốc gia và vùng lãnh thổ) trên ứng dụng của Vietcombank,T02. ECONOMY_BUSINESS_AND_FINANCE,T02,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 17:31:00,2026-05-22,17.0,Friday,ok,1,2026-05-23 23:43:41,17000,1200,19,97,2,4,90,0.0,18412,18412.0,1.0,ok,1,1,1100,1100,1,1,1,1290,122,1412,18412,0.07668911579404736,1.0,0.07668911579404736,0.0651748859439496,0.00488811644579622,0.0010319356941125353,0.005268303280469259,0.00010862480990658266,0.00021724961981316532,0.9884857701499022,0.00021724961981316532,0.0010319356941125353,0.0049967412557028025,20612,0.001958723404255319,0.00011702127659574468,0.00011702127659574468,0.0021927659574468086,1,1,1,0,,1,,
REC_000008,"Nhiều người vì tin bạn bè, người quen hoặc ham tiền công cao mà nhận “xách hộ”, “ship hộ” hàng hóa không rõ nguồn gốc. Nhưng khi bị phát hiện, cái giá phải trả không chỉ là án tù… mà còn là tương lai, gia đình và cả cuộc đời phía trước. Đừng nghĩ “xách hộ, ship hộ” là vô can. Một phút chủ quan có thể đánh đổi bằng cả cuộc đời. Theo Luật số 86/2025/QH15 sửa đổi, bổ sung một số điều của Bộ luật Hình sự, tội vận chuyển trái phép chất ma túy có thể bị phạt tù từ 3 năm đến chung thân. ----- Video minh họa nhằm mục đích tuyên truyền pháp luật",T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/reel/670744189467522,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 13:13:00,2026-05-22,13.0,Friday,ok,1,2026-05-23 23:44:27,21000,274,2000,33,23,5,22,0.0,23357,23357.0,1.0,ok,1,1,1300000,1700,1,1,1,296,2061,2357,23357,0.10091193218307146,-1.0,-0.10091193218307146,0.011730958599135163,0.0009419017853320204,0.08562743503018368,0.0014128526779980306,0.0009847155028471122,0.00021406858757545916,0.9108190264160637,0.00021406858757545916,0.08562743503018368,0.0019266172881791325,1325057,0.002484787234042553,0.13829787234042554,0.00018085106382978723,0.14096351063829787,1,1,0,1,share_count >= 100000; share_count > total_reactions * 20 and share_count >= 10000,0,,
REC_000009,Khởi tố vụ sản xuất gần 11.000 hũ yến sào giả,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,0.0,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,https://www.facebook.com/thongtinchinhphu/posts/pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,nhung,schema_5_new_timestamp,9400000,1,2026-05-22 12:19:00,2026-05-22,12.0,Friday,ok,1,2026-05-23 23:45:02,10018,101,43,105,59,107,8,0.0,10441,10441.0,1.0,ok,1,1,671,671,1,1,1,109,314,423,10441,0.040513360789196436,-1.0,-0.040513360789196436,0.00967340293075376,0.0007662101331290107,0.004118379465568432,0.010056507997318264,0.005650799731826453,0.010248060530600516,0.9691600421415574,0.010248060530600516,0.004118379465568432,0.0064170098649554645,11783,0.0011107446808510638,7.138297872340426e-05,7.138297872340426e-05,0.0012535106382978722,1,1,1,0,,1,,
REC_000010,"Chủ tịch Quốc hội Trần Thanh Mẫn: Giám sát sắc bén, không để kiến nghị “rơi vào im lặng”",T01. POLITICS,T01,human_verified,manual_adjudicated,0.0,Đại biểu Nhân dân,daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn/posts/pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,nhung,schema_5_new_timestamp,207000,1,2026-05-25 11:41:00,2026-05-25,11.0,Monday,ok,1,2026-05-26 01:24:02,96,6,7,0,0,0,0,0.0,109,109.0,1.0,ok,1,1,10,0,1,1,1,6,7,13,109,0.11926605504587157,-1.0,-0.11926605504587157,0.05504587155963303,0.0,0.06422018348623854,0.0,0.0,0.0,0.9357798165137615,0.0,0.06422018348623854,0.0,119,0.0005265700483091788,4.830917874396135e-05,0.0,0.0005748792270531401,1,1,1,0,,1,,pilot_or_calibration_sample_exclude_from_test
REC_000011,"Chủ tịch Quốc hội Trần Thanh Mẫn: Ủy ban Khoa học, Công nghệ và Môi trường không được phép đi sau thực tiễn",T01. POLITICS,T01,human_labeled,manual,0.0,Đại biểu Nhân dân,daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn/posts/pfbid02Ut5k1rGq9qbKaC3B5S6SF4KUKxdUroCb3KkdGJT39F27gu25ZJ3UfjFGwYMJRWEnl,nhung,schema_5_new_timestamp,207000,1,2026-05-25 06:49:00,2026-05-25,6.0,Monday,ok,1,2026-05-26 01:24:08,92,3,0,0,0,0,0,0.0,95,95.0,1.0,ok,1,1,13,0,1,1,1,3,0,3,95,0.031578947368421054,1.0,0.031578947368421054,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108,0.00045893719806763285,6.280193236714976e-05,0.0,0.0005217391304347826,1,1,1,0,,1,,
