registry_group,display_name,model_name,scenario,model_path,vectorizer_path,label_encoder_path,supports_predict_proba,validation_macro_f1,test_macro_f1,test_accuracy,recommended_for_demo,notes
best_by_model,LogisticRegression - 01_Raw_Data,LogisticRegression,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LogisticRegression/label_encoder.joblib,True,0.6492228034107059,0.6953520112626581,0.7601431980906921,True,Best overall and recommended for default Streamlit demo.
best_by_model,RandomForest - 05_Balanced,RandomForest,05_Balanced,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/RandomForest/label_encoder.joblib,True,0.5795625138085282,0.6139094660469855,0.7088305489260143,True,Recommended model-family demo artifact.
best_by_model,XGBoost - 03_Full_Clean,XGBoost,03_Full_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/XGBoost/label_encoder.joblib,True,0.5457949453977796,0.6188863421441306,0.6575178997613366,True,Recommended model-family demo artifact.
best_by_model,LinearSVC - 01_Raw_Data,LinearSVC,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/best_by_model/LinearSVC/label_encoder.joblib,False,0.6455106868731967,0.6866842653985191,0.7589498806682577,True,Recommended model-family demo artifact.
by_scenario,LogisticRegression - 01_Raw_Data,LogisticRegression,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LogisticRegression/label_encoder.joblib,True,0.6492228034107059,0.6953520112626581,0.7601431980906921,False,Best overall and recommended for default Streamlit demo.
by_scenario,LogisticRegression - 02_Basic_Clean,LogisticRegression,02_Basic_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LogisticRegression/label_encoder.joblib,True,0.6390892901837698,0.7014169397719718,0.7613365155131265,False,Additional scenario/model artifact.
by_scenario,LogisticRegression - 03_Full_Clean,LogisticRegression,03_Full_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LogisticRegression/label_encoder.joblib,True,0.6366112011131538,0.6996374919851475,0.7601431980906921,False,Additional scenario/model artifact.
by_scenario,LogisticRegression - 04_No_Stopwords,LogisticRegression,04_No_Stopwords,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LogisticRegression/label_encoder.joblib,True,0.631380308274802,0.6970909633994529,0.7625298329355609,False,Additional scenario/model artifact.
by_scenario,LogisticRegression - 05_Balanced,LogisticRegression,05_Balanced,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LogisticRegression/label_encoder.joblib,True,0.6407288758820262,0.6840817950699283,0.752983293556086,False,Additional scenario/model artifact.
by_scenario,RandomForest - 01_Raw_Data,RandomForest,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/RandomForest/label_encoder.joblib,True,0.5697750815965782,0.5860054789274755,0.6766109785202864,False,Additional scenario/model artifact.
by_scenario,RandomForest - 02_Basic_Clean,RandomForest,02_Basic_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/RandomForest/label_encoder.joblib,True,0.5599634590919775,0.6142167455208694,0.6718377088305489,False,Additional scenario/model artifact.
by_scenario,RandomForest - 03_Full_Clean,RandomForest,03_Full_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/RandomForest/label_encoder.joblib,True,0.5624164063751229,0.6127814445965425,0.6706443914081146,False,Additional scenario/model artifact.
by_scenario,RandomForest - 04_No_Stopwords,RandomForest,04_No_Stopwords,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/RandomForest/label_encoder.joblib,True,0.5788321146409138,0.5955628609034089,0.6957040572792362,False,Additional scenario/model artifact.
by_scenario,RandomForest - 05_Balanced,RandomForest,05_Balanced,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/RandomForest/label_encoder.joblib,True,0.5795625138085282,0.6139094660469855,0.7088305489260143,False,Additional scenario/model artifact.
by_scenario,XGBoost - 01_Raw_Data,XGBoost,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/XGBoost/label_encoder.joblib,True,0.5357621455241299,0.6177794928924681,0.6515513126491647,False,Additional scenario/model artifact.
by_scenario,XGBoost - 02_Basic_Clean,XGBoost,02_Basic_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/XGBoost/label_encoder.joblib,True,0.536892871153593,0.6144765221946992,0.6599045346062052,False,Additional scenario/model artifact.
by_scenario,XGBoost - 03_Full_Clean,XGBoost,03_Full_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/XGBoost/label_encoder.joblib,True,0.5457949453977796,0.6188863421441306,0.6575178997613366,False,Additional scenario/model artifact.
by_scenario,XGBoost - 04_No_Stopwords,XGBoost,04_No_Stopwords,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/XGBoost/label_encoder.joblib,True,0.5345036745313553,0.6078378948583559,0.6575178997613366,False,Additional scenario/model artifact.
by_scenario,XGBoost - 05_Balanced,XGBoost,05_Balanced,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/XGBoost/label_encoder.joblib,True,0.5378849076588702,0.6136848130258474,0.6646778042959427,False,Additional scenario/model artifact.
by_scenario,LinearSVC - 01_Raw_Data,LinearSVC,01_Raw_Data,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/01_Raw_Data/LinearSVC/label_encoder.joblib,False,0.6455106868731967,0.6866842653985191,0.7589498806682577,False,Additional scenario/model artifact.
by_scenario,LinearSVC - 02_Basic_Clean,LinearSVC,02_Basic_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/02_Basic_Clean/LinearSVC/label_encoder.joblib,False,0.6453179088603869,0.6938407550075434,0.7577565632458234,False,Additional scenario/model artifact.
by_scenario,LinearSVC - 03_Full_Clean,LinearSVC,03_Full_Clean,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/03_Full_Clean/LinearSVC/label_encoder.joblib,False,0.6358476380024054,0.6698075696525733,0.7541766109785203,False,Additional scenario/model artifact.
by_scenario,LinearSVC - 04_No_Stopwords,LinearSVC,04_No_Stopwords,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/04_No_Stopwords/LinearSVC/label_encoder.joblib,False,0.6451515048310992,0.6671879835126913,0.7505966587112172,False,Additional scenario/model artifact.
by_scenario,LinearSVC - 05_Balanced,LinearSVC,05_Balanced,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/model_zoo/by_scenario/05_Balanced/LinearSVC/label_encoder.joblib,False,0.6389883173487065,0.6876305867776943,0.7494033412887828,False,Additional scenario/model artifact.
